"Protein","Count_ABP","Count_Comp","Count_NP","Mean_ABP","Mean_Comp","Mean_NP","Fold_change_ABP_vs_Comp","Fold_change_ABP_vs_NP","Fold_change_Comp_vs_NP","P_value_A_ABP_vs_Comp","P_value_A_ABP_vs_NP","P_value_A_Comp_vs_NP","Flag_A_ABP_vs_Comp","Flag_A_ABP_vs_NP","Flag_A_Comp_vs_NP"
"sp|Q29RW1|MYH4_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|P10888|COX41_RAT",3,3,0,2.08357222043507,1.5378576873718,NA,0.545714533063271,NA,NA,0.188631917929149,NA,NA,0,0,0
"tr|B2GUV6|B2GUV6_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q9JJM9|SEPT5_RAT",3,3,0,1.91387889711296,1.43875726259897,NA,0.475121634513984,NA,NA,0.151049772308426,NA,NA,0,0,0
"tr|F1LX07|F1LX07_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q99P84|PLCE1_RAT",3,2,0,2.55930119915373,2.38088924702125,NA,0.178411952132474,NA,NA,0.212485150222353,NA,NA,0,0,0
"sp|P56574|IDHP_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|P63039|CH60_RAT",3,3,1,2.17369284620855,1.64989045439376,-1.68696937658568,0.523802391814788,3.86066222279423,3.33685983097944,0.0953844262934128,0.000345929723016911,0.00060940226904628,0,1,1
"sp|P50398|GDIA_RAT",3,3,0,2.35006487360319,2.3036487636775,NA,0.0464161099256888,NA,NA,0.780076810493713,NA,NA,0,0,0
"sp|Q66H29|GP160_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|D3ZS84|D3ZS84_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|A0A0G2K0J4|A0A0G2K0J4_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|O88871|GABR2_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q9QX75|TRDN_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|B1WCA0|B1WCA0_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|F1M8X9|F1M8X9_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q5M965|THG1_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|D3ZQ48|D3ZQ48_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q9WUL0|TOP1_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q9QUL6|NSF_RAT",3,3,0,0.831323696872203,1.43799442372377,NA,-0.606670726851568,NA,NA,0.455751392642988,NA,NA,0,0,0
"sp|Q3KR59|UBP10_RAT",3,3,1,2.11560401191591,1.71276074325801,-0.451256254720718,0.4028432686579,2.56686026663663,2.16401699797873,0.175432854363738,0.00177052619874551,0.00334860679711644,0,1,1
"sp|P13221|AATC_RAT",3,3,2,2.13550148805892,1.43741504291144,-0.582329540600268,0.698086445147475,2.71783102865918,2.01974458351171,0.262860288681295,0.00707463821877828,0.0223490764548768,0,1,1
"tr|F1LZI1|F1LZI1_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|P04636|MDHM_RAT",3,3,3,1.92318815815356,1.54056937278946,-0.636521248088235,0.382618785364105,2.5597094062418,2.17709062087769,0.00548571309362515,1.28454613377809e-07,3.36821880657228e-07,1,1,1
"sp|P68255|1433T_RAT",3,3,2,2.4261353263658,1.83463738082492,-0.0265360971004587,0.59149794554088,2.45267142346626,1.86117347792538,0.0592811042276977,0.000280099909331119,0.00101762536229356,0,1,1
"tr|A0A0G2JXW5|A0A0G2JXW5_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|D3ZRJ5|D3ZRJ5_RAT",3,3,1,1.72576024361624,1.53235342552221,0.552292847374223,0.193406818094026,1.17346739624201,0.980060578147988,0.645399621649885,0.100053691774001,0.149669531539117,0,0,0
"tr|C0KUC6|C0KUC6_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|E9PTN6|E9PTN6_RAT",3,3,2,4.43993108547806,2.30998666248205,-1.98568828417277,2.12994442299601,6.42561936965084,4.29567494665483,0.0396875198611156,0.000684827333678468,0.00416017630650265,1,1,1
"sp|P15999|ATPA_RAT",3,3,0,1.63205012067189,1.12835724050277,NA,0.503692880169121,NA,NA,0.0737807950220224,NA,NA,0,0,0
"tr|A0A0G2K9Y9|A0A0G2K9Y9_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|D4AEJ5|D4AEJ5_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|Q6AYB0|Q6AYB0_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|P25122|KCNC1_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|A0A0G2K5Q4|A0A0G2K5Q4_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|D4AEC2|CAMP2_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|O08628|PCOC1_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|D4A647|D4A647_RAT",3,3,2,1.08550890141514,0.798338254009661,-1.35443284227151,0.287170647405479,2.43994174368665,2.15277109628117,0.419462053740331,0.00113410077019554,0.00199602304382757,0,1,1
"tr|A0A0G2QC59|A0A0G2QC59_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|A0A0G2K8W9|A0A0G2K8W9_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|B2GV02|B2GV02_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q5BJQ5|RIT2_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q62833|GRK5_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|P09117|ALDOC_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|Q6QLN3|Q6QLN3_RAT",3,3,0,1.86278253815186,1.42487400583719,NA,0.437908532314666,NA,NA,0.0622025130041366,NA,NA,0,0,0
"sp|Q62952|DPYL3_RAT",3,3,0,2.05679888806047,1.28839826190621,NA,0.768400626154256,NA,NA,0.0193135193616449,NA,NA,1,0,0
"sp|P04642|LDHA_RAT",3,3,3,2.03410886071264,1.32258821903255,-1.02579617967993,0.711520641680084,3.05990504039257,2.34838439871248,0.0572239201742142,5.48132072222504e-05,0.000242693188519966,0,1,1
"sp|Q6IFU8|K1C17_RAT",1,3,0,3.5141108965224,1.47073089871805,NA,2.04337999780435,NA,NA,0.0158539953610918,NA,NA,1,0,0
"sp|D4A666|UBN2_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|O70441|SYN3_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|A0A0G2K2E4|A0A0G2K2E4_RAT",3,3,2,2.61570448252785,1.34296139517063,-1.64761472480543,1.27274308735722,4.26331920733328,2.99057611997606,0.0161889480243874,0.000125129813959626,0.000672488385682377,1,1,1
"sp|Q71QF9|PRIC1_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|A0A0G2K7N8|A0A0G2K7N8_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|D3ZVT2|D3ZVT2_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q5U300|UBA1_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q9EPB1|DPP2_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|B2GV73|B2GV73_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|P20759|IGHG1_RAT",3,2,0,1.01696913846036,0.668124242953636,NA,0.348844895506724,NA,NA,0.352862827043391,NA,NA,0,0,0
"sp|O88600|HSP74_RAT",3,3,2,1.46586825865069,1.15795393636882,-1.29378893433413,0.307914322281862,2.75965719298482,2.45174287070295,0.279926960677379,0.000196875782084441,0.000345653539395779,0,1,1
"tr|A0A0G2JWU1|A0A0G2JWU1_RAT",3,3,2,2.47230287210223,1.66979651053944,0.0560807156531895,0.80250636156279,2.41622215644904,1.61371579488625,0.0154500389642552,0.000196814075500916,0.00130017217095157,1,1,1
"tr|A0A0G2K9M5|A0A0G2K9M5_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|P50554|GABT_RAT",3,2,0,1.15212073654069,1.06508374489847,NA,0.0870369916422176,NA,NA,0.776095339761259,NA,NA,0,0,0
"sp|O35179|SH3G2_RAT",3,3,3,1.97409300434549,1.56970206227016,-1.24718325597559,0.404390942075327,3.22127626032107,2.81688531824575,0.102818135019323,4.88759613322321e-06,1.07134524359406e-05,0,1,1
"sp|Q6AXY7|PR38B_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|D3ZCX6|D3ZCX6_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|P24942|EAA1_RAT",3,3,2,2.89104544854927,2.33227171360412,-2.54606429243239,0.558773734945157,5.43710974098166,4.87833600603651,0.513715022671801,0.0016967376200223,0.00274637178972264,0,1,1
"sp|P09951|SYN1_RAT",3,3,0,1.80987555685467,1.62895886555857,NA,0.180916691296092,NA,NA,0.657922576625918,NA,NA,0,0,0
"tr|M0RAB8|M0RAB8_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"tr|D3ZAP9|D3ZAP9_RAT",3,3,1,2.67351626883154,2.37104786000773,0.192501153642871,0.302468408823804,2.48101511518867,2.17854670636486,0.345519190927802,0.0034479962190379,0.00553763605130991,0,1,1
"sp|Q6IG02|K22E_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q5U4E6|GOGA4_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"sp|Q811U3|RB6I2_RAT",3,3,0,1.27377374942341,1.53097907331013,NA,-0.257205323886723,NA,NA,0.652916125745818,NA,NA,0,0,0
"sp|O35548|MMP16_RAT",3,3,0,1.43033811298874,1.73881318515399,NA,-0.308475072165252,NA,NA,0.595070820047625,NA,NA,0,0,0
"sp|P68370|TBA1A_RAT",3,2,0,1.00403200139807,1.42405788959474,NA,-0.420025888196674,NA,NA,0.0216052249410468,NA,NA,-1,0,0
"sp|Q5I0D7|PEPD_RAT",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
